1571067985.000000, 1571067985.000000, 1571067985.000000
32.000000, 32.000000, 32.000000
7,2,62
7,2,62
8,2,63
7,2,62
7,2,62
7,2,63
6,2,62
6,2,62
6,2,62
6,2,63
5,2,62
5,2,62
5,2,63
5,2,63
5,0,61
6,0,61
7,1,62
8,1,63
8,1,63
6,2,62
6,2,62
5,3,63
5,2,63
5,2,63
4,2,62
4,2,62
5,2,62
6,2,63
6,2,63
4,1,62
4,1,62
4,1,62
4,2,62
4,2,63
4,2,63
4,2,62
4,2,63
4,2,63
3,2,62
3,1,62
4,1,62
4,2,62
4,2,63
4,1,63
3,0,62
2,1,62
3,1,61
5,0,63
4,-1,63
4,0,63
3,-1,63
4,-2,62
3,-2,61
3,-1,63
4,-1,63
3,-1,63
2,-1,62
2,-1,62
3,-1,63
3,0,62
4,0,63
4,0,62
4,0,62
4,0,63
3,0,63
3,0,63
3,0,62
3,1,62
4,0,63
5,1,63
5,0,62
5,0,62
5,0,62
4,0,62
5,1,63
4,0,62
4,0,63
5,1,63
5,1,63
5,0,62
4,0,62
5,0,62
5,0,62
5,0,63
5,0,63
4,0,62
4,0,62
4,0,62
5,0,62
5,0,62
4,0,62
5,0,62
5,0,63
5,0,62
5,0,62
5,0,62
5,0,63
5,0,63
4,0,62
5,0,62
4,0,63
4,0,63
5,0,63
6,0,63
5,0,62
5,0,62
5,0,63
5,0,62
5,0,62
5,0,62
5,0,62
5,0,63
5,0,62
5,0,62
4,0,63
5,0,63
5,0,62
4,0,62
5,0,62
5,0,63
5,0,63
5,0,63
4,0,62
4,0,63
4,0,62
5,0,63
5,0,62
5,0,62
4,0,63
5,0,63
4,0,62
3,0,62
4,-1,62
5,-2,62
5,-2,62
5,-1,62
4,1,62
4,1,62
3,1,63
4,1,63
3,1,63
3,0,62
3,0,62
3,0,63
2,0,63
2,0,64
-1,1,63
-2,2,67
-5,0,71
-6,-2,69
-3,-4,62
4,-7,54
6,-9,58
10,-10,59
9,-10,59
3,-10,61
1,-10,63
0,-9,64
-2,-8,63
-7,-8,64
-11,-6,70
-16,-5,71
-13,-12,75
-9,-15,74
-7,-23,66
-2,-19,57
1,-20,52
-4,-16,51
-2,-9,55
-4,-7,55
-13,-4,61
-18,-3,63
-20,-6,65
-15,-6,68
-15,-7,66
-8,-9,58
-1,-11,57
-5,-12,55
-9,-16,54
-8,-17,54
-7,-18,56
-12,-16,57
-15,-16,55
-15,-17,56
-18,-15,59
-21,-13,58
-22,-9,60
-22,-9,61
-20,-8,60
-16,-7,58
-18,-9,57
-15,-9,61
-13,-10,59
-12,-11,58
-10,-11,61
-13,-11,60
-13,-8,62
-14,-9,60
-18,-10,60
-16,-10,62
-14,-10,63
-16,-10,63
-13,-7,66
-10,-6,66
-10,-8,66
-9,-8,62
-9,-7,61
-9,-5,61
-10,-4,60
-13,-4,58
-14,-2,60
-15,-2,60
-16,-2,61
-16,-3,61
-16,-4,61
-15,-4,63
-14,-4,64
-13,-4,64
-13,-4,63
-13,-4,63
-13,-3,61
-13,-4,61
-13,-5,62
-11,-8,63
-9,-13,64
-7,-15,65
-5,-15,66
-5,-17,66
-7,-18,65
-8,-17,70
-9,-17,68
-11,-19,64
-10,-18,66
-13,-15,60
-10,-12,60
-13,-10,57
-13,-9,50
-16,0,54
-18,-1,52
-24,-1,52
-25,2,57
-26,1,56
-24,-5,60
-23,-10,61
-21,-15,57
-22,-14,58
-19,-15,60
-20,-14,60
-18,-13,60
-16,-14,62
-17,-15,60
-16,-14,60
-16,-12,61
-17,-12,59
-17,-11,60
-18,-13,58
-17,-13,59
-17,-13,60
-15,-13,59
-18,-14,58
-18,-11,59
-18,-10,60
-17,-9,60
-18,-3,63
-19,-2,63
-16,-6,59
-11,-6,61
-9,-11,60
-7,-10,58
-8,-16,57
-12,-19,54
-16,-21,52
-17,-19,53
-12,-17,58
-15,-17,57
-17,-15,57
-7,-14,50
-17,-12,51
-16,-10,60
-17,-4,64
-8,-2,64
-17,1,69
-13,4,74
-15,3,73
-11,5,70
-11,8,68
-12,5,63
-11,2,62
-11,2,61
-9,1,60
-10,0,58
-9,0,59
-5,4,63
-2,3,63
-7,2,63
-7,2,66
-9,2,64
-8,1,63
-7,0,62
-7,-1,62
-6,-1,62
-6,-2,61
-9,-1,59
-4,-2,65
-7,-4,66
-8,-4,59
-8,-8,62
-7,-8,62
